Course,Lecture number,Lecture name,Slides,Worksheets,Readings,lecture link
COMP 6741,1,Introduction to Intelligent Systems,C:\Users\anubh\OneDrive\Desktop\COMP 6741\slides01.pdf,C:\Users\anubh\OneDrive\Desktop\COMP 6741\worksheet01.pdf,"Introduction to Artificial Intelligence, https://plato.stanford.edu/entries/artificial-intelligence/, Eliza, https://en.wikipedia.org/wiki/ELIZA",https://dbpedia.org/page/Artificial_intelligence
COMP 6741,2,Introduction to Knowledge Graphs (RDF),C:\Users\anubh\OneDrive\Desktop\COMP 6741\slides02.pdf,C:\Users\anubh\OneDrive\Desktop\COMP 6741\worksheet02.pdf,"[Yu14, Chapters 1, 2] (Introduction, RDF)",https://concordiauniversity.on.worldcat.org/oclc/897466408
COMP 6741,3,"Knowledge Graphs: Vocabularies & Ontologies (RDFS, OWL)",C:\Users\anubh\OneDrive\Desktop\COMP 6741\slides03.pdf,C:\Users\anubh\OneDrive\Desktop\COMP 6741\worksheet03.pdf,"[Yu14, Chapter 4] (RDFS),  [Yu14, Chapter 7] (FOAF)",http://www.w3.org/People/Ivan/CorePresentations/RDFTutorial/
COMP 6741,4,Knowledge Base Queries (SPARQL) and Linked Open Data (LOD),C:\Users\anubh\OneDrive\Desktop\COMP 6741\slides04.pdf,C:\Users\anubh\OneDrive\Desktop\COMP 6741\worksheet04.pdf,"[Yu14, Chapter 6] (SPARQL),   [Yu14, Chapter 9] (Linked Open Data)",https://concordiauniversity.on.worldcat.org/oclc/853679890
COMP 6741,5,Personalization & Recommender Systems,C:\Users\anubh\OneDrive\Desktop\COMP 6741\slides05.pdf,C:\Users\anubh\OneDrive\Desktop\COMP 6741\worksheet05.pdf," [Ala09, Chapters 2, 3] (Recommendations), [MRS08, Chapter 8] (Evaluation)",https://concordiauniversity.on.worldcat.org/oclc/314121652
COMP 6741,6,Machine Learning for Intelligent Systems,/Users/saurabh/Documents/Courses/COMP 6741/Lecture/slides06.pdf,/Users/saurabh/Documents/Courses/COMP 6741/Worksheets/worksheet06.pdf,"[MG17, Chapters 2, 3, 5] (kNN, k-Means, Evaluation)",https://dbpedia.org/page/Machine_learning
COMP 6741,7,Intelligent Agents,/Users/saurabh/Documents/Courses/COMP 6741/Lecture/slides07.pdf,/Users/saurabh/Documents/Courses/COMP 6741/Worksheets/worksheet07.pdf,"[LHH19, Chapter 12] (Dialog engines)",https://dbpedia.org/page/Intelligent_agent
COMP 6741,8,Text Mining,/Users/saurabh/Documents/Courses/COMP 6741/Lecture/slides08.pdf,/Users/saurabh/Documents/Courses/COMP 6741/Worksheets/worksheet08.pdf,"[LHH19, Chapter 11] (Information extraction)",https://dbpedia.org/page/Text_mining
COMP 6481,1,Introduction,C:\Users\anubh\OneDrive\Desktop\COMP 6481\chap7-Inheritance.pdf,/Users/saurabh/Documents/Courses/All terms/Fall 23/COMP 6481-PPS/Tutorial_1.pdf,,
COMP 6481,2,Algorithm analysis,C:\Users\anubh\OneDrive\Desktop\COMP 6481\aa.pdf,/Users/saurabh/Documents/Courses/All terms/Fall 23/COMP 6481-PPS/Tutorial_2.pdf,"Textbook Data Structures and Algorithms in Java, 6th edition, by M. T. Goodrich, R. Tamassia, and M. H. Goldwasser, Wiley, 2014",https://www.geeksforgeeks.org/design-and-analysis-of-algorithms/
COMP 6481,3,Recursion,C:\Users\anubh\OneDrive\Desktop\COMP 6481\Recursion.pdf,/Users/saurabh/Documents/Courses/All terms/Fall 23/COMP 6481-PPS/COMP6481_TUT_05_Reg.pdf,https://www.geeksforgeeks.org/introduction-to-recursion-data-structure-and-algorithm-tutorials/,https://www.youtube.com/watch?v=FyHloXKnPWc
COMP 6481,4,Exception Handelling,/Users/saurabh/Documents/Courses/All terms/Fall 23/COMP 6481-PPS/Lectures Slides/Exception_Handelling/chap9-Exceptions-NA.pdf,/Users/saurabh/Documents/Courses/All terms/Fall 23/COMP 6481-PPS/Tutorial_3.pdf,"https://stackify.com/specify-handle-exceptions-java/#:~:text=Java%20provides%20two%20different%20options,easier%20cleanup%20process%20for%20resources.",https://www.wikidata.org/wiki/Q471748
COMP 6481,5,Trees,/Users/saurabh/Documents/Courses/All terms/Fall 23/COMP 6481-PPS/Lectures Slides/Trees/trees.pdf,/Users/saurabh/Documents/Courses/All terms/Fall 23/COMP 6481-PPS/Tutorial_10.pdf,"https://javachallengers.com/tree-data-structure-with-java/#:~:text=The%20tree%20data%20structure%20is,nodes%20is%20called%20a%20branch.",https://dbpedia.org/page/Tree_(data_structure)
COMP 6481,6,HashMap,/Users/saurabh/Documents/Courses/All terms/Fall 23/COMP 6481-PPS/Lectures Slides/HashMap/maphash.pdf,/Users/saurabh/Documents/Courses/All terms/Fall 23/COMP 6481-PPS/Tutorial_9.pdf,"Textbook Data Structures and Algorithms in Java, 6th edition, by M. T. Goodrich, R. Tamassia, and M. H. Goldwasser, Wiley, 2014",https://dbpedia.org/page/Hash_table
COMP 6481,7,Graphs,/Users/saurabh/Documents/Courses/All terms/Fall 23/COMP 6481-PPS/Lectures Slides/Graphs.pdf,/Users/saurabh/Documents/Courses/All terms/Fall 23/COMP 6481-PPS/Tutorial_7.pdf,https://www.baeldung.com/java-graphs,https://dbpedia.org/page/Graph_(abstract_data_type)
