Course,Lecture name,Topic name,Provenance information,Dbpedia/Wikidata link
COMP 6741,Introduction to Intelligent Systems,Knowledge graphs,Course outline,https://dbpedia.org/resource/Knowledge_graph
COMP 6741,Introduction to Intelligent Systems,Text mining,Course outline,https://www.wikidata.org/wiki/Q676880
COMP 6741,Knowledge Graphs,The Resource Description Framework (RDF),Course outline,https://dbpedia.org/page/Resource_Description_Framework
COMP 6741,Recommender Systems,Content-based Recommendations,Course outline,https://dbpedia.org/page/Recommender_system
COMP 6741,Recommender Systems,Collaborative Filtering,Course outline,https://dbpedia.org/page/Collaborative_filtering
COMP 6741,Machine Learning for Intelligent Systems,k-Means Clustering,Course outline,https://dbpedia.org/page/K-means_clustering
COMP 6741,Intelligent Agents,Pattern-Matching Bots,Course outline,https://www.wikidata.org/wiki/Q1503724
COMP 6741,Text Mining,Natural Language Processing (NLP),Course outline,https://dbpedia.org/page/Natural_language_processing
COMP 6481,Introduction,Inheritance,Course outline,https://dbpedia.org/page/Object-oriented_programming
COMP 6481,Recursion,Tail Recursion,Course outline,https://dbpedia.org/page/Tail_call
COMP 6481,Algorithm analysis,Algorithm efficiency,Course outline,https://dbpedia.org/page/Category:Algorithms
COMP 6481,Hashmap,Hash table,Course outline,https://dbpedia.org/page/Hash_table
COMP 6481,Exception Handelling,Run Time Errors,Course outline,https://www.wikidata.org/wiki/Q15825362
COMP 6481,Trees,Binary Trees,Course outline,https://dbpedia.org/page/Binary_tree
COMP 6481,Graphs,Depth First Search (DFS),Course outline,https://dbpedia.org/page/Depth-first_search
